,teaching,international,research,citations,income,scores,clusters,cluster
0,99.7,72.4,98.7,98.8,34.5,96.1,1,pink
1,97.7,54.6,98.0,99.9,83.7,96.0,1,pink
2,97.8,82.3,91.4,99.9,87.5,95.6,1,pink
3,98.3,29.5,98.1,99.2,64.3,94.3,1,pink
5,90.5,77.7,94.1,94.0,57.0,91.2,1,pink
6,88.2,77.2,93.9,95.1,73.5,91.2,1,pink
8,89.2,90.0,94.5,88.3,92.9,90.6,1,pink
12,80.9,58.5,89.2,92.3,100.0,86.4,1,pink
13,82.2,62.4,88.8,88.1,34.7,83.9,1,pink
15,83.9,53.3,89.1,84.1,59.6,83.4,1,pink
18,71.8,32.9,82.7,93.6,43.7,79.5,1,pink
19,70.3,39.1,79.3,95.7,53.7,79.3,1,pink
20,68.4,91.4,71.4,96.1,56.5,79.2,1,pink
21,74.0,90.8,81.6,80.6,39.0,78.4,1,pink
22,68.2,49.0,77.1,95.9,32.8,78.0,1,pink
23,66.8,49.4,71.5,92.3,100.0,76.5,2,purple
26,67.9,73.2,72.6,83.2,95.1,75.3,1,pink
27,69.5,32.6,62.5,96.5,100.0,75.1,2,purple
28,56.6,64.3,68.0,98.8,89.8,75.0,1,pink
29,65.1,93.3,74.8,80.3,42.6,73.8,1,pink
30,70.9,21.5,75.1,85.0,50.2,73.8,1,pink
31,59.8,31.6,76.3,90.8,51.8,73.2,1,pink
33,65.5,97.8,72.6,78.7,40.5,72.9,1,pink
35,58.7,88.0,69.2,83.3,47.7,71.0,1,pink
36,76.4,68.6,61.3,72.2,98.6,70.7,2,purple
39,59.9,67.3,61.9,86.8,42.2,69.2,1,pink
40,50.4,97.4,51.8,98.2,64.1,69.0,0,light pink
41,66.8,44.9,48.2,95.7,30.7,68.6,3,black
44,57.3,44.5,55.9,92.5,31.7,67.0,3,black
46,57.4,31.2,50.6,99.1,29.2,66.9,3,black
47,55.0,100.0,56.1,83.8,38.0,66.5,0,light pink
50,64.9,22.1,59.5,78.1,84.2,65.9,2,purple
53,57.3,60.5,70.7,68.8,48.0,65.0,1,pink
55,61.3,22.6,72.6,67.9,53.9,64.7,3,black
56,78.9,18.4,77.7,46.3,67.1,64.6,2,purple
57,74.9,43.0,66.6,52.7,97.8,64.2,2,purple
58,53.6,38.1,51.9,91.4,29.6,64.0,3,black
61,59.1,43.1,57.5,76.4,40.4,63.0,3,black
63,58.5,25.2,58.3,78.3,37.9,62.7,3,black
67,49.6,67.2,53.1,80.9,36.2,61.4,0,light pink
70,49.8,89.6,61.9,64.3,90.8,61.2,2,purple
72,46.5,87.5,38.8,90.5,52.7,60.7,0,light pink
75,47.7,84.2,45.3,84.4,31.6,60.3,0,light pink
76,48.5,85.9,54.5,72.1,44.1,59.7,0,light pink
78,71.3,36.7,63.4,45.5,100.0,59.5,2,purple
79,42.4,72.8,42.4,91.6,29.1,59.5,0,light pink
80,51.8,74.2,53.4,69.0,57.1,59.1,0,light pink
81,47.9,66.6,46.2,81.9,36.2,59.1,0,light pink
